"ID","SIRE.ID","DAM.ID","Sex","BYEAR"
6976,6909,6856,"M",2004
7149,6868,6887,"M",2005
7644,NA,NA,"M",2007
6980,6892,6854,"M",2004
8493,NA,NA,"F",2010
7887,NA,7019,"M",2008
7314,6863,6914,"F",2006
5914,5483,5508,"M",2007
6901,NA,6794,"M",2002
7632,7427,7040,"F",2007
7896,7251,7437,"F",2008
6201,NA,6103,"F",2008
6558,5818,NA,"F",2009
8111,6923,7706,"F",2009
8107,7251,7437,"M",2009
8108,7251,7437,"F",2009
6432,6139,6104,"M",2009
7810,7256,7252,"F",2008
7796,NA,7724,"M",2008
6284,5510,5508,"M",2008
6205,5482,6104,"M",2008
6430,NA,6400,"F",2009
6435,NA,6401,"F",2009
6515,NA,NA,"M",2009
6560,6413,6504,"M",2009
8329,5601,8294,"F",2010
8251,6408,6104,"M",2010
8653,7034,7420,"F",2010
8300,6410,8239,"F",2010
8489,8398,NA,"M",2010
8481,5172,6557,"M",2010
8340,NA,8223,"F",2010
8379,5499,NA,"M",2010
8494,6133,NA,"M",2010
5349,NA,4496,"M",2005
7486,NA,6978,"M",2007
2014,NA,NA,"F",1995
1324,NA,766,"F",1993
2489,NA,1243,"F",1997
1669,NA,1243,"F",1994
1327,NA,766,"F",1993
1915,NA,1379,"F",1995
2966,NA,1885,"F",1998
2901,NA,1247,"F",1998
4159,NA,2906,"F",2001
7172,6855,6974,"M",2005
7171,6855,6974,"F",2005
4784,4005,NA,"F",2003
4479,NA,2906,"F",2002
7067,6868,6812,"F",2005
6950,6837,6822,"M",2004
6951,6837,6822,"F",2004
6952,6901,6822,"M",2004
5103,NA,4805,"F",2004
5056,4412,4523,"F",2004
7051,6925,6874,"F",2005
7136,6983,6934,"F",2005
7150,NA,6945,"F",2005
7132,6965,6900,"F",2005
7108,7033,6822,"M",2005
7111,6901,6822,"F",2005
7116,6851,6813,"M",2005
7115,NA,6813,"F",2005
5350,4013,4496,"F",2005
5306,4713,5075,"M",2005
5304,NA,5075,"F",2005
5449,5153,5094,"F",2005
5406,NA,4549,"F",2005
5298,4000,5074,"M",2005
5297,NA,5074,"M",2005
5382,NA,4747,"F",2005
5381,NA,4747,"M",2005
5380,NA,4747,"F",2005
